id,origin,cs,power,destination,path
152,22,1,50,16,"[69, 66, 74, 38, 35, 5, 1, 4, 16, 22]"
153,15,15,120,1,"[44, 40, 33, 35, 5]"
154,8,5,50,16,"[19, 15, 12, 16, 22]"
155,14,11,50,11,[40]
156,12,1,50,10,"[35, 5, 2, 6, 9, 13, 25]"
157,22,20,50,20,[68]
158,14,1,50,21,"[40, 31, 8, 5, 2, 7, 37, 39, 75]"
159,8,15,50,14,"[22, 49, 53, 57, 44]"
160,15,15,120,14,[44]
161,23,1,50,14,"[73, 74, 38, 35, 5, 2, 7, 36, 34]"
162,22,5,50,14,"[67, 43, 26, 23, 11, 10, 34]"
163,15,15,50,8,"[45, 58, 52, 47]"
164,17,11,50,10,"[52, 48, 27, 32]"
165,11,11,120,15,"[34, 41]"
166,11,11,50,4,[31]
167,15,15,50,10,[43]
168,11,11,50,16,"[32, 29]"
169,15,15,120,24,"[46, 69, 66]"
170,9,1,50,6,"[23, 11, 8, 5, 1, 4]"
171,21,15,50,22,"[65, 67, 46]"
172,10,5,50,14,"[26, 23, 11, 10, 34]"
173,16,5,50,4,"[47, 19, 15, 11]"
174,8,5,50,10,"[19, 15, 13, 25]"
175,12,11,50,24,"[36, 34, 42, 73]"
176,16,20,50,21,"[50, 56, 62]"
177,8,1,50,1,"[19, 14, 3]"
178,20,20,50,13,"[62, 66, 74]"
179,15,15,120,10,[43]
180,18,15,50,9,"[55, 49, 53, 57, 43, 26]"
181,1,1,120,13,"[2, 7, 37]"
182,9,13,50,13,"[25, 27, 33, 37]"
183,15,15,50,10,[43]
184,10,20,50,20,"[29, 50, 56]"
185,22,11,50,17,"[70, 71, 40, 32, 29, 49]"
186,23,15,50,16,"[72, 67, 45, 58, 52]"
187,15,15,50,11,"[44, 40]"
188,23,15,50,15,"[72, 67]"
189,24,13,50,22,"[74, 39, 75, 65]"
190,16,15,50,10,"[49, 53, 57, 43]"
191,21,13,50,12,"[66, 74, 38]"
192,9,5,50,5,[23]
193,17,20,50,24,"[53, 59, 62, 66]"
194,15,15,120,22,[46]
195,8,1,50,1,"[19, 14, 3]"
196,8,1,50,16,"[19, 14, 3, 1, 4, 16, 22]"
197,14,20,50,23,"[41, 45, 59, 63, 70]"
198,17,5,50,23,"[52, 47, 19, 15, 11, 10, 34, 42]"
199,8,13,50,21,"[19, 15, 11, 8, 7, 37, 39, 75]"
200,10,20,50,17,"[29, 50, 56, 61, 58]"
201,12,1,50,10,"[35, 5, 2, 6, 9, 13, 25]"
202,11,11,50,14,[34]
203,15,15,120,14,[44]
204,11,11,50,1,"[33, 35, 5]"
205,6,11,50,11,"[15, 11, 10]"
206,8,5,50,24,"[19, 15, 11, 8, 7, 37, 39]"
207,17,5,50,8,"[52, 47, 19, 15, 12, 16]"
208,15,15,120,4,"[44, 40, 31]"
209,17,13,50,18,"[53, 57, 46, 69, 66, 74, 39, 75, 64, 60]"
210,10,1,50,1,"[26, 23, 11, 8, 5]"
211,10,1,50,22,"[26, 23, 11, 8, 5, 2, 7, 37, 39, 75, 65]"
212,11,11,120,15,"[34, 41]"
213,10,20,50,7,"[29, 50, 56, 60, 54]"
214,17,15,50,15,"[53, 57]"
215,21,1,50,23,"[66, 74, 38, 35, 5, 2, 7, 37, 39, 76]"
216,10,15,50,15,[28]
217,23,5,50,12,"[71, 40, 31, 9, 11, 8, 7]"
218,5,5,50,9,[13]
219,19,11,50,18,"[57, 44, 40, 32, 29, 50]"
220,16,13,50,13,"[48, 27, 33, 37]"
221,8,13,50,9,"[19, 15, 11, 8, 7, 37, 38, 36, 32, 26]"
222,10,13,50,7,"[27, 33, 37, 39, 75, 64, 60, 54]"
223,19,15,50,15,[57]
224,7,1,50,17,"[17, 19, 14, 3, 1, 4, 16, 22, 49]"
1500,1,1,120,9,"[2, 6, 9, 13]"
1501,14,13,120,22,"[42, 73, 74, 39, 75, 65]"
1502,19,13,120,16,"[57, 46, 69, 66, 74, 38, 36, 32, 29]"
1503,16,20,120,20,"[50, 56]"
1504,11,11,50,8,"[31, 9, 12, 16]"
1505,11,11,120,13,"[33, 37]"
1506,24,20,120,20,"[75, 64]"
1507,1,1,120,15,"[2, 7, 37, 39, 75, 65, 67]"
1508,10,13,120,8,"[27, 33, 37, 38, 35, 6, 9, 12, 16]"
1509,9,13,120,24,"[25, 27, 33, 37, 39]"
1510,14,13,120,12,"[42, 73, 74, 38]"
1511,15,15,50,10,[43]
1512,12,15,120,9,"[37, 39, 75, 65, 67, 43, 26]"
1513,1,1,50,4,"[2, 6]"
1514,20,20,120,9,"[60, 55, 48, 26]"
1515,16,1,50,18,"[47, 19, 14, 3, 1, 4, 16, 20, 18]"
1516,19,1,50,22,"[58, 52, 47, 19, 14, 3, 2, 7, 37, 39, 75, 65]"
1517,23,5,120,14,"[71, 40, 31, 9, 11, 10, 34]"
1518,17,13,120,23,"[53, 57, 46, 69, 66, 74, 39, 76]"
1519,23,20,120,14,"[72, 68, 61, 57, 44]"
1520,1,1,50,14,"[2, 7, 36, 34]"
1521,11,11,120,10,[32]
1522,11,11,120,3,"[33, 35]"
1523,7,13,120,9,"[18, 56, 62, 66, 74, 38, 36, 32, 26]"
1524,10,1,50,9,"[26, 23, 11, 8, 5, 2, 6, 9, 13]"
1525,12,1,50,7,"[35, 5, 1, 4, 16, 20]"
1526,23,1,50,14,"[73, 74, 38, 35, 5, 2, 7, 36, 34]"
1527,15,15,50,10,[43]
1528,10,20,120,9,"[29, 50, 56, 60, 55, 48, 26]"
1529,17,20,120,19,"[53, 59, 61]"
1530,22,15,120,15,[67]
1531,10,5,120,5,"[26, 23]"
1532,8,1,50,7,"[19, 14, 3, 1, 4, 16, 20]"
1533,16,1,50,7,"[47, 19, 14, 3, 1, 4, 16, 20]"
1534,10,1,50,2,"[26, 23, 11, 8, 5, 1]"
1535,16,13,120,10,"[48, 27, 33, 37, 38, 36, 32]"
1536,13,13,50,10,"[38, 36, 32]"
1537,8,1,50,10,"[19, 14, 3, 2, 6, 9, 13, 25]"
1538,13,13,120,24,[39]
1539,17,11,120,10,"[52, 48, 27, 32]"
1540,16,13,120,17,"[48, 27, 33, 37, 39, 75, 65, 67, 45, 58]"
1541,8,13,120,16,"[19, 15, 11, 8, 7, 37, 38, 36, 32, 29]"
1542,17,13,120,10,"[53, 57, 46, 69, 66, 74, 38, 36, 32]"
1543,16,11,120,11,"[48, 27]"
1544,22,1,50,4,"[69, 66, 74, 38, 35, 5, 2, 6]"
1545,16,13,120,10,"[48, 27, 33, 37, 38, 36, 32]"
1546,6,5,120,4,"[15, 11]"
1547,10,15,120,15,[28]
1548,15,15,50,6,"[45, 58, 52, 47, 19]"
1549,10,20,120,6,"[29, 50, 56, 60, 54, 17, 19]"
1550,19,11,120,22,"[57, 44, 40, 34, 41, 46]"
1551,19,20,120,10,"[59, 60, 55, 48]"
1552,9,13,120,4,"[25, 27, 33, 37, 38, 35, 6]"
1553,8,5,120,6,"[19, 15, 12]"
1554,8,15,120,15,"[22, 49, 53, 57]"
1555,22,13,120,13,"[69, 66, 74]"
1556,13,13,50,4,"[38, 35, 6]"
1557,12,13,120,17,"[37, 39, 75, 65, 67, 45, 58]"
1558,10,20,120,22,"[29, 50, 56, 63]"
1559,10,11,120,11,[27]
1560,21,13,120,10,"[66, 74, 38, 36, 32]"
1561,13,13,50,21,"[39, 75]"
1562,24,11,120,11,"[76, 71, 40]"
1563,22,11,120,11,"[70, 71, 40]"
1564,10,15,120,15,[28]
1565,16,1,50,10,"[47, 19, 14, 3, 2, 6, 9, 13, 25]"
1566,19,1,50,17,"[58, 52, 47, 19, 14, 3, 1, 4, 16, 22, 49]"
1567,24,11,120,11,"[76, 71, 40]"
1568,10,1,50,16,"[26, 23, 11, 8, 5, 1, 4, 16, 22]"
1569,24,13,120,12,"[74, 38]"
1570,21,13,120,13,"[66, 74]"
1571,5,5,50,10,"[13, 25]"
1572,17,13,120,16,"[53, 57, 46, 69, 66, 74, 38, 36, 32, 29]"
1573,16,20,120,10,"[50, 56, 60, 55, 48]"
1574,17,5,120,6,"[52, 47, 19, 15, 12]"
1575,9,5,120,16,"[23, 12, 16, 22]"
1576,11,11,50,14,[34]
1577,19,13,120,17,"[57, 46, 69, 66, 74, 39, 75, 65, 67, 45, 58]"
1578,12,11,120,11,[36]
1579,11,11,50,12,[33]
1580,22,15,120,15,[67]
1581,17,11,120,11,"[52, 48, 27]"
1582,7,1,50,17,"[17, 19, 14, 3, 1, 4, 16, 22, 49]"
1583,20,20,50,7,"[60, 54]"
1584,5,5,50,13,"[11, 8, 7, 37]"
1585,20,20,50,1,"[60, 54, 17, 19, 14, 3]"
1586,5,5,50,9,[13]
1587,16,15,120,4,"[49, 53, 57, 44, 40, 31]"
1588,18,13,120,10,"[56, 62, 66, 74, 38, 36, 32]"
1589,4,1,50,17,"[8, 5, 1, 4, 16, 22, 49]"
1590,15,15,120,9,"[43, 26]"
1591,16,1,50,10,"[47, 19, 14, 3, 2, 6, 9, 13, 25]"
1592,15,15,50,11,"[44, 40]"
1593,19,5,120,10,"[58, 52, 47, 19, 15, 13, 25]"
1594,17,13,120,22,"[53, 57, 46, 69, 66, 74, 39, 75, 65]"
1595,17,1,50,10,"[52, 47, 19, 14, 3, 2, 6, 9, 13, 25]"
1596,13,13,50,16,"[38, 36, 32, 29]"
1597,24,13,120,21,"[74, 39, 75]"
1598,4,11,120,11,[10]
1599,16,1,50,10,"[47, 19, 14, 3, 2, 6, 9, 13, 25]"
1600,21,13,120,13,"[66, 74]"
1601,7,15,120,15,"[18, 55, 49, 53, 57]"
1602,8,13,120,19,"[19, 15, 11, 8, 7, 37, 39, 75, 65, 67, 45]"
1603,6,1,50,2,"[14, 3, 1]"
1604,19,5,120,16,"[58, 52, 47, 19, 15, 12, 16, 22]"
1605,10,5,120,17,"[26, 23, 12, 16, 22, 49]"
1606,11,11,50,24,"[34, 42, 73]"
1607,12,13,120,22,"[37, 39, 75, 65]"
1608,14,1,50,23,"[40, 33, 35, 5, 2, 7, 37, 39, 76]"
1609,4,1,50,6,"[8, 5, 1, 4]"
1610,10,13,120,9,"[27, 33, 37, 38, 36, 32, 26]"
1611,15,15,50,13,"[46, 69, 66, 74]"
1612,10,13,120,13,"[27, 33, 37]"
1613,15,15,120,10,[43]
1614,19,20,120,20,[59]
1615,19,15,120,22,"[57, 46]"
1616,9,13,120,7,"[25, 27, 33, 37, 39, 75, 64, 60, 54]"
1617,10,15,120,15,[28]
1618,1,1,50,7,"[1, 4, 16, 20]"
1619,21,20,120,20,[64]
1620,16,13,120,23,"[48, 27, 33, 37, 39, 76]"
1621,17,1,50,1,"[52, 47, 19, 14, 3]"
1622,22,20,120,17,"[68, 61, 58]"
1623,11,11,50,15,"[34, 41]"
1624,10,5,120,18,"[26, 23, 12, 16, 20, 18]"
1625,16,5,120,17,"[47, 19, 15, 12, 16, 22, 49]"
1626,23,20,120,20,"[72, 68]"
1627,12,13,120,13,[37]
1628,17,5,120,10,"[52, 47, 19, 15, 13, 25]"
1629,13,13,120,10,"[38, 36, 32]"
1630,12,1,50,9,"[35, 5, 2, 6, 9, 13]"
1631,14,15,120,16,"[41, 45, 58, 52]"
1632,17,5,120,9,"[52, 47, 19, 15, 13]"
1633,22,5,120,17,"[67, 43, 26, 23, 12, 16, 22, 49]"
1634,12,5,120,5,"[35, 6, 9]"
1635,16,13,120,18,"[48, 27, 33, 37, 39, 75, 64, 60]"
1636,21,15,120,15,"[65, 67]"
1637,14,13,120,10,"[42, 73, 74, 38, 36, 32]"
1638,6,13,120,8,"[15, 11, 8, 7, 37, 38, 35, 6, 9, 12, 16]"
1639,22,15,120,21,"[67, 46, 69]"
1640,12,11,120,11,[36]
1641,7,1,50,8,"[17, 19, 14, 3, 1, 4, 16]"
1642,10,5,120,19,"[26, 23, 12, 16, 22, 49, 53]"
1643,22,1,50,23,"[69, 66, 74, 38, 35, 5, 2, 7, 37, 39, 76]"
1644,18,1,50,19,"[54, 17, 19, 14, 3, 1, 4, 16, 22, 49, 53]"
1645,17,20,120,10,"[53, 59, 60, 55, 48]"
1646,10,1,50,14,"[26, 23, 11, 8, 5, 2, 7, 36, 34]"
1647,10,13,120,12,"[27, 33, 37, 38]"
1648,6,5,120,16,"[15, 12, 16, 22]"
1649,7,13,120,13,"[18, 56, 62, 66, 74]"
1650,9,20,120,12,"[25, 29, 50, 56, 62, 66, 74, 38]"
1651,17,11,120,11,"[52, 48, 27]"
1652,12,5,120,21,"[35, 6, 9, 13, 25, 28, 46, 69]"
1653,12,11,120,11,[36]
1654,20,20,120,19,[61]
1655,17,15,120,15,"[53, 57]"
1656,16,5,120,10,"[47, 19, 15, 13, 25]"
1657,16,13,120,7,"[48, 27, 33, 37, 39, 75, 64, 60, 54]"
1658,16,13,120,23,"[48, 27, 33, 37, 39, 76]"
1659,16,5,120,7,"[47, 19, 15, 12, 16, 20]"
1660,23,1,50,9,"[73, 74, 38, 35, 5, 2, 6, 9, 13]"
1661,14,1,50,9,"[40, 33, 35, 5, 2, 6, 9, 13]"
1662,13,13,50,1,"[38, 35, 5]"
1663,18,13,120,7,"[56, 62, 66, 74, 39, 75, 64, 60, 54]"
1664,7,1,50,17,"[17, 19, 14, 3, 1, 4, 16, 22, 49]"
1665,10,13,120,13,"[27, 33, 37]"
1666,22,5,120,10,"[67, 43, 26, 23, 13, 25]"
1667,17,20,120,20,"[53, 59]"
1668,24,1,50,23,"[74, 38, 35, 5, 2, 7, 37, 39, 76]"
1669,10,13,120,19,"[27, 33, 37, 39, 75, 65, 67, 45]"
1670,23,11,120,22,"[71, 40, 34, 41, 46]"
1671,12,1,50,14,"[35, 5, 2, 7, 36, 34]"
1672,16,5,120,22,"[47, 19, 15, 13, 25, 28, 46]"
1673,10,5,120,17,"[26, 23, 12, 16, 22, 49]"
1674,16,11,120,11,"[48, 27]"
1675,20,20,120,19,[61]
1676,17,1,50,22,"[52, 47, 19, 14, 3, 2, 7, 37, 39, 75, 65]"
1677,11,11,50,17,"[32, 29, 49]"
1678,20,20,50,23,"[63, 70]"
1679,24,1,50,22,"[74, 38, 35, 5, 2, 7, 37, 39, 75, 65]"
1680,19,5,120,17,"[58, 52, 47, 19, 15, 12, 16, 22, 49]"
1681,15,15,120,12,"[46, 69, 66, 74, 38]"
1682,10,20,120,20,"[29, 50, 56]"
1683,16,13,120,10,"[48, 27, 33, 37, 38, 36, 32]"
1684,23,15,120,15,"[72, 67]"
1685,11,11,50,7,"[32, 29, 50, 54]"
1686,9,20,120,20,"[25, 29, 50, 56]"
1687,13,13,50,21,"[39, 75]"
1688,12,13,120,17,"[37, 39, 75, 65, 67, 45, 58]"
1689,22,11,120,11,"[70, 71, 40]"
1690,15,15,50,23,"[46, 70]"
1691,22,1,50,12,"[69, 66, 74, 38, 35, 5, 2, 7]"
1692,10,5,120,6,"[26, 23, 12]"
1693,6,5,120,5,[15]
1694,17,13,120,10,"[53, 57, 46, 69, 66, 74, 38, 36, 32]"
1695,17,13,120,10,"[53, 57, 46, 69, 66, 74, 38, 36, 32]"
1696,21,1,50,4,"[66, 74, 38, 35, 5, 2, 6]"
1697,13,13,50,10,"[38, 36, 32]"
1698,5,5,120,10,"[13, 25]"
1699,19,1,50,4,"[58, 52, 47, 19, 14, 3, 2, 6]"
1700,21,1,50,14,"[66, 74, 38, 35, 5, 2, 7, 36, 34]"
1701,4,15,120,15,"[10, 34, 41]"
1702,13,13,50,20,"[39, 75, 64]"
1703,10,13,120,24,"[27, 33, 37, 39]"
1704,7,5,120,2,"[17, 19, 15, 12, 14]"
1705,1,1,120,13,"[2, 7, 37]"
1706,16,13,120,10,"[48, 27, 33, 37, 38, 36, 32]"
1707,5,5,120,13,"[11, 8, 7, 37]"
1708,1,1,120,8,"[1, 4, 16]"
1709,11,11,50,7,"[32, 29, 50, 54]"
1710,10,20,120,20,"[29, 50, 56]"
1711,1,1,50,5,"[2, 6, 9]"
1712,13,13,50,11,"[38, 36]"
1713,9,13,120,10,"[25, 27, 33, 37, 38, 36, 32]"
1714,15,15,120,8,"[45, 58, 52, 47]"
1715,23,1,50,4,"[73, 74, 38, 35, 5, 2, 6]"
1716,15,15,50,4,"[44, 40, 31]"
1717,24,1,50,9,"[74, 38, 35, 5, 2, 6, 9, 13]"
1718,20,20,50,13,"[62, 66, 74]"
1719,16,15,120,4,"[49, 53, 57, 44, 40, 31]"
1720,4,13,120,8,"[8, 7, 37, 38, 35, 6, 9, 12, 16]"
1721,20,20,120,22,[63]
1722,5,5,120,13,"[11, 8, 7, 37]"
1723,7,1,50,16,"[17, 19, 14, 3, 1, 4, 16, 22]"
1724,9,1,50,16,"[23, 11, 8, 5, 1, 4, 16, 22]"
2994,17,1,120,10,"[52, 47, 19, 14, 3, 2, 6, 9, 13, 25]"
2995,14,11,120,11,[40]
2996,17,1,120,7,"[52, 47, 19, 14, 3, 1, 4, 16, 20]"
2997,11,11,50,15,"[34, 41]"
2998,20,20,50,13,"[62, 66, 74]"
2999,16,5,120,10,"[47, 19, 15, 13, 25]"
3000,21,15,120,10,"[65, 67, 43]"
3001,10,15,120,15,[28]
3002,8,13,120,13,"[19, 15, 11, 8, 7, 37]"
3003,22,1,120,21,"[69, 66, 74, 38, 35, 5, 2, 7, 37, 39, 75]"
3004,8,15,120,4,"[22, 49, 53, 57, 44, 40, 31]"
3005,12,20,120,20,"[37, 39, 75, 64]"
3006,15,15,120,4,"[44, 40, 31]"
3007,16,11,120,7,"[48, 27, 32, 29, 50, 54]"
3008,10,20,120,9,"[29, 50, 56, 60, 55, 48, 26]"
3009,11,11,50,9,"[32, 26]"
3010,10,15,120,17,"[28, 45, 58]"
3011,23,1,120,14,"[73, 74, 38, 35, 5, 2, 7, 36, 34]"
3012,9,11,120,11,"[25, 27]"
3013,16,15,120,19,"[49, 53, 57, 45]"
3014,4,20,120,20,"[9, 12, 16, 20, 18, 56]"
3015,20,20,50,10,"[60, 55, 48]"
3016,6,11,120,12,"[15, 11, 10, 33]"
3017,19,1,120,17,"[58, 52, 47, 19, 14, 3, 1, 4, 16, 22, 49]"
3018,7,1,120,19,"[17, 19, 14, 3, 1, 4, 16, 22, 49, 53]"
3019,23,11,120,22,"[71, 40, 34, 41, 46]"
3020,7,1,120,14,"[17, 19, 14, 3, 2, 7, 36, 34]"
3021,12,1,120,10,"[35, 5, 2, 6, 9, 13, 25]"
3022,11,11,50,14,[34]
3023,4,5,120,5,[9]
3024,15,15,50,8,"[45, 58, 52, 47]"
3025,16,11,120,11,"[48, 27]"
3026,18,20,120,20,[56]
3027,21,5,120,10,"[65, 67, 43, 26, 23, 13, 25]"
3028,20,20,50,19,[61]
3029,20,20,120,16,"[60, 55]"
3030,14,15,120,22,"[41, 46]"
3031,9,11,120,4,"[25, 27, 31]"
3032,24,1,120,22,"[74, 38, 35, 5, 2, 7, 37, 39, 75, 65]"
3033,13,13,120,17,"[39, 75, 65, 67, 45, 58]"
3034,6,1,120,1,"[14, 3]"
3035,23,20,120,20,"[72, 68]"
3036,12,1,120,4,"[35, 5, 2, 6]"
3037,22,1,120,14,"[69, 66, 74, 38, 35, 5, 2, 7, 36, 34]"
3038,1,1,120,6,"[1, 4]"
3039,10,15,120,15,[28]
3040,10,11,120,16,"[27, 32, 29]"
3041,23,15,120,15,"[72, 67]"
3042,1,1,120,8,"[1, 4, 16]"
3043,22,13,120,21,"[69, 66, 74, 39, 75]"
3044,20,20,50,10,"[60, 55, 48]"
3045,19,1,120,21,"[58, 52, 47, 19, 14, 3, 2, 7, 37, 39, 75]"
3046,19,20,120,12,"[59, 62, 66, 74, 38]"
3047,4,5,120,12,"[9, 11, 8, 7]"
3048,11,11,120,12,[33]
3049,10,1,120,23,"[26, 23, 11, 8, 5, 2, 7, 37, 39, 76]"
3050,24,1,120,23,"[74, 38, 35, 5, 2, 7, 37, 39, 76]"
3051,10,13,120,22,"[27, 33, 37, 39, 75, 65]"
